topic,keywords
0,dan plaire pouvoir devoir politique faire pays nest trouver voir vouloir grand general situation moment contrer rester partir nouveau jour
1,avoir sujet luire ajouter dan dernier prendre conversation gouvernement etayer parler dire tenir affairer avion rappeler question ecrire plenipotentiaire donner
2,lempereur majeste m_giers lempereur_guillaume visiter guillaume_ii souverain chancelier prince tsar dire voyager lempereur_dallemagne ma_dire cour devoir ajouter parler ma aller
3,luire faire dire excellence repondre demander ma pouvoir voir demarcher vouloir ma_dire donner savoir parler prince question conversation croire penser
4,russie russe lautriche saintpetersbourg petersbourg gouvernement_russe tsar m_isvolsky perse entrer politique lallemagne langleterre m_sazonoff m_giers puissance alliance rapprochement japon persan
5,litalie italien rome gouvernement_italien m_crispi m_tittoni lautriche tripler_alliance france marquis_san_giuliano italie m_cairoli tripolitaine tunisie politique ministre_affaire_etranger entrer journal presider_conseil venir
6,allemand francais journal lallemagne territoire contrer gouvernement_allemand allemagne frontiere article presser excellence berlin soldat dan officier cabinet_dir faire publier alsacelorraine
7,langleterre angler londres lord_salisbury legypte gouvernement_britannique gouvernement_angler portugal entrer lord_kimberley britannique egypte anglais sir_edward_grey foreign_office cabinet_londres traiter turquie grandebretagne voir
8,sultan constantinople porter majeste turquie turc gouvernement_ottoman ottoman grand_vizir dan ambassadeur faire m_nelidoff palais demander projet pacha mettre tripolitaine pouvoir
9,chiner japon pekin chinois gouvernement_chinois japonais mandchourie gouvernement_japonais tokio etatsunis ministre gouvernement puissance coree consortium etranger prince_lobanoff condition americain legation
10,lespagne espagnol maroc madrid ministre_detat gouvernement_espagnol etatsunis m_moret conference accord duc_dalmodovar cabinet_madrid france_lespagne m_silvela tanger m_leon_castillo lambassadeur_despagne pouvoir dan voir
11,bulgarie bulgare sofia prince roumanie turquie gouvernement_bulgare macedoine prince_ferdinand constantinople porter bucarest roumain turc prince_alexandre ministre venir principaute m_daneff prince_cobourg
12,grece puissance crete grec conference athenes turquie cretois lile proposition porter puissance_protecteur prince_georges pouvoir devoir leurope turc gouvernement cabinet gouvernement_grec
13,noter remettre porter reponse dan texte gouvernement_imperial gouvernement puissance m_jules_ferry instruction adresser communiquer m_isvolsky sublimer_porter ministre_affaire_etranger projet m_tissot constantinople dater
14,soir venir comte_kalnoky partir matin annoncer nouveau demain gouvernement instruction heure gouvernement_angler petersbourg gouvernement_allemand pacifique general telegraphier ministre_affaire_etranger prince_bismarck general_ignatieff
15,roi majeste visiter presider_republique voyager rome pari souverain prince m_presider_republique reine pape madrid rendre ma saintsiege presider vouloir palais ministre
16,francais convention question dan ligne projet pouvoir droit pari devoir entrer territoire traiter plenipotentiaire gouvernement_francais conference partir banque demander condition
17,serbie serbe belgrade lautriche gouvernement_serbe venir m_pachitch lautrichehongrie autrichien roi_alexandre montenegro baron_daehrenthal gouvernement_austrohongrois ministre_serbie comte_andrassy comte_kalnoky roi_milan austrohongrois cabinet_venir m_milovanovitch
18,france lallemagne guerre chancelier prince_bismarck dire declaration contrer maroc entrer m_bismarck langleterre gouvernement pacifique politique parole croire m_radowitz attaquer paix
19,khedive caire legypte egypte altesse lord_cromer egyptien compagnie m_malet pacha angler cherif_pacha porter lord_derby ministre gouvernement_angler alexandrie france_langleterre m_sienkiewicz ministere
20,berlin venir pari prince_bismarck londres petersbourg chancelier gontautblron_ambassadeur_france lempereur_alexandre voir rome prince aller saintpetersbourg lempereur_dautriche matin comte_andrassy ambassadeur visiter cour
21,tanger maghzen fez maroc marocain tribu mission moulay_hafid sultan troupe ville m_gaillard rabattre madrid protection sliman francais agent mokri cherifien
22,telegramme telegraphier demarcher pari_soir transmettre communiquer reproduire matin petersbourg instruction comte_lamsdorff lord_granville m_freycinet envoyer prier m_delcasse cidessus_reproduire_sou dater londres dan
23,bey tunis m_roustan lord_salisbury tunisie tunisien altesse m_maccio matin regence italien lettre faire premier_ministre gouvernement_tunisien m_barthelemy_sainthilaire troupe consul madagascar francais
24,the of_the and gouvernement_majeste to_the that in_the excellence which with canal that_the for with_the by_the this m_lesseps was sir_edward_grey are
25,communication lettre faire reponse adresser comte_darnim sujet copier m_manteuffel ecrire rapport service_chiffrer depecher excellence lord_salisbury nouveau savoir dater document dan
