topic,keywords
0,faire grand pouvoir dire petit voir aller jour venir savoir homme femme la œuvre temps devoir bon falloir jeune vouloir
1,avoir faire dire pouvoir heure voir savoir venir vouloir aller prendre devoir donner hier jour caillal lettre petit trouver passer
2,rue pari heure prix maison an hotel eau vendre adresser fr place grand bon gramme petit mettre not st franc
3,rad rep soc elu votant dep circonscription inscrit millimetre ballottage con prog opp sort lib inscrire quartier radical progr republicain
4,chapeau noir plume manchon blanc bleu velours aigrette gris avoir comtesse grand etol paille beige garni drap rose do zibeline
5,comte comtesse marquis mlle vicomte baron baronne prince princesse duc grand duchess duchesse millimetre general diamant do donner prix henri
6,fr franc decembre pari prix etrenne do nouveau rel vol relier volume illustrer broche annee br valeur petit cart obligation
7,pouvoir faire chambre gouvernement loi ministre president devoir politique general nouveau etat commission dire question conseil france depute droit projet
8,do mentir tion lo oeuvre faire heure coeur pari ot teur tre rue ver jour no sion grand millimetre pouvoir
9,cpt liq fr hq credit gramme banque bon action cours heure gaz ept obligation pari general terme bourse suer foncier
10,millimetre mlle theatre heure grand soir pari representation premier opera nouveau hier comedie acte artiste succes rue piece matinee paul
11,largeur avoir lain grand drap metre soie noir qualite nuance pur heure larg toil satin mitre fr garni blanc coton
12,general president pari heure chef grand france armee ministre officier republique roi colonel francais guerre etat commandant militaire corps conseil
13,accessit prix chap pari mathematique st eleve an cardinal classe premier concours lycee grand mlle professeur ace mois eau rhetorique
14,act rue pari incendie obi vie fr grand heure maison hotel faire abeille eau bon urbaine an francais figaro prix
